Skus,Name,Char Count,Word Count,Sentence Count,Hashtag Count,@ Count
43900,duracell aaa batteries pack,33,5,1,0,0
48530,duracell aa v coppertop batteries pack,47,7,1,0,0
127687,duracell aa batteries pack,32,5,1,0,0
150115,energizer max batteries aa pack,37,6,1,0,0
185230,duracell c batteries pack,31,5,1,0,0
185267,duracell batteries pack,31,5,1,0,0
312290,duracell v batteries pack,32,5,1,0,0
324884,directed electronics viper audio glass break sensor,53,8,1,0,0
333179,energizer n cell e batteries pack,41,7,1,0,0
346575,metra radio installation dash kit ford lincoln mercury vehicles black,95,16,1,0,0
346646,metra radio dash multikit select gm vehicles black,58,11,1,0,0
347137,metra wiring harness select ford vehicles multicolore,72,11,1,0,0
347146,metra turbo wire aftermarket radio wire harness adapter select vehicles,77,12,1,0,0
347155,metra wiring harness honda acura vehicles multicolore,77,12,1,0,0
347333,metra antenna cable adapter black,37,7,1,0,0
349572,install portable radar detector inst,38,6,1,0,0
373642,jensen v nicad battery mhz phones,45,8,1,0,0
478398,metra radio installation dash kit select ford mazda mercury vehicles pair black,94,16,1,0,0
612732,metra din trim ring vehicle,44,9,1,0,0
643600,metra turbowire radio harness adapter select jeep vehicles,64,10,1,0,0
643628,metra speaker connector select volkswagen vehicles,56,8,1,0,0
643691,metra speaker connector select mitsubishi chrysler vehicles,69,10,1,0,0
643717,metra wiring harness mazda vehicles multicolore,71,11,1,0,0
673890,metra professional installer series turbokit,46,6,1,0,0
677379,metra wiring harness later toyota scion vehicles multicolore,83,14,1,0,0
1002651,polk audio single voice coil ohm subwoofer black,58,9,1,0,0
1003003,hard rock trackpak mac,24,5,1,0,0
1003012,aquarius fender playing cards gift tin red black,52,9,1,0,0
1003021,loduca bros inc deluxe keyboard bench black,47,9,1,0,0
1003049,trumpet multimedia trumpets work calendar black,61,10,1,0,0
1003067,pro tools tier audio plug pc mac activation card windowsmac,75,14,1,0,0
1003076,audio bx studio monitors pair black,47,9,1,0,0
1003085,aquarius grateful dead skull logo chunky magnet red white blue,66,10,1,0,0
1003109,alesis acousticlink guitar recording pack white,51,8,1,0,0
1003127,modern rock trackpak mac,26,5,1,0,0
1003136,rock trackpak mac,25,5,1,0,0
1003145,loduca bros inc professional digital photo studio kit black white blue,74,11,1,0,0
1003163,groovy shapes volume windowsmac,36,6,1,0,0
1003172,presonus audiobox itwo recording system blue gray,53,8,1,0,0
1003214,presonus audiobox ione recording system blue gray,53,8,1,0,0
1003232,aquarius grateful dead bear logo chunky magnet green yellow blue purple red orange black,92,10,1,0,0
1003269,addictive key studio collection macwindows,47,6,1,0,0
1003278,pro tools tier audio plug pc mac activation card windowsmac,75,14,1,0,0
1003287,korg nanokey key usb midi controller white gray,55,9,1,0,0
1003296,audio nova condenser microphone silver,44,7,1,0,0
1003319,ik multimedia irig stomp black,34,7,1,0,0
1003328,ik multimedia iklip xpand microphone stand mount black,58,10,1,0,0
1003337,audio cardioid dynamic microphone black gray,54,8,1,0,0
1003346,elements pack macwindows,27,4,1,0,0
1003364,ik multimedia iklip xpand mini microphone stand mount black,63,11,1,0,0
1003373,acoustic rock trackpak mac,28,5,1,0,0
1003415,aquarius elvis heartthrob chunky magnet black white,55,8,1,0,0
1003424,aquarius elvis presley jailhouse rock piece jigsaw puzzle black white red yellow blue green orange,108,11,1,0,0
