                                  precision    recall  f1-score   support

                          others       0.84      0.79      0.81      3085
                       appliance       0.97      0.81      0.88      1404
                      cell phone       0.98      0.79      0.87      1023
            cell phone accessory       0.98      0.77      0.86       921
                computer tablets       0.97      0.55      0.70       910
                     video games       0.96      0.91      0.94       887
       connected home housewares       0.99      0.53      0.69       718
        small kitchen appliances       0.99      0.58      0.73       555
               cameras camcorder       0.98      0.59      0.74       555
                           audio       0.97      0.49      0.65       518
                       pre games       0.76      0.69      0.72       632
              musical instrument       0.99      0.42      0.59       448
             car electronics gps       0.98      0.38      0.55       434
computer accessories peripherals       0.99      0.41      0.58       368
                 tv home theater       0.98      0.39      0.56       329
        digital camera accessory       0.98      0.50      0.66       338
                iphone accessory       0.99      0.70      0.82       322
              iphone cases clips       0.97      0.69      0.81       289
          cell phone cases clips       0.96      0.61      0.75       358
                    refrigerator       0.98      0.60      0.75       146
car installation parts accessory       0.96      0.49      0.65       242
               printer ink toner       0.99      0.81      0.89       227
     car audio installation part       0.95      0.51      0.67       232
            range cooktops ovens       1.00      0.70      0.83       206
                      home audio       0.97      0.33      0.50       177
           health fitness beauty       1.00      0.23      0.37       190
                       headphone       0.98      0.40      0.57       249
         ipad tablet accessories       0.98      0.33      0.49       187
          office school supplies       0.99      0.80      0.89       173
         deck installation parts       0.92      0.53      0.67       171
     heating cooling air quality       1.00      0.37      0.54       148
      tv stands mounts furniture       0.98      0.35      0.51       156
                          laptop       0.97      0.84      0.90        70
                       houseware       0.98      0.37      0.54       110
                        tv stand       0.97      0.43      0.60       175
                laptop accessory       1.00      0.40      0.57       154
                 sheet music dvd       0.99      0.61      0.75       142
     case covers keyboard folios       0.91      0.37      0.52       136
      cell phone batteries power       1.00      0.61      0.76       121
                         speaker       0.93      0.41      0.57        98
     bluetooth wireless speakers       0.96      0.42      0.59       160
          dash installation kits       0.89      0.49      0.63       175
       cookware bakeware cutlery       0.98      0.51      0.67       178
                  outdoor living       0.97      0.38      0.55        87
             coffee tea espresso       0.96      0.17      0.29       148
     tv home theater accessories       0.97      0.23      0.38       120
                toy games drones       1.00      0.12      0.21       101
                       car audio       1.00      0.17      0.29       169
                     sheet music       0.86      0.52      0.65       113
            unlocked cell phones       0.98      0.82      0.90        74
                           range       1.00      0.60      0.75       166
       appliance parts accessory       0.92      0.11      0.19       103
                       microwave       1.00      0.24      0.39       120
                     playstation       0.17      0.01      0.02        84
        adapters cables chargers       1.00      0.24      0.38       114
                 furniture decor       1.00      0.39      0.56        83
                          tablet       1.00      0.54      0.70        70
                  kitchen gadget       1.00      0.16      0.28        81
                  connected home       1.00      0.25      0.40       130
            personal care beauty       1.00      0.10      0.18       121
    musical instrument accessory       1.00      0.07      0.14        67
              office electronics       1.00      0.56      0.71        81
                     printer ink       0.98      0.45      0.62       227
                        ps games       0.00      0.00      0.00        71
                        cookware       0.98      0.50      0.66       161
        office furniture storage       1.00      0.27      0.42       141
             best buy gift cards       0.99      0.45      0.62       177
           microphone live sound       1.00      0.02      0.03        59
             v cables connectors       0.96      0.39      0.55        59
                  washers dryers       1.00      0.57      0.72        69
