,precision,recall,f1-score,support
others,0.8376801647220316,0.7912479740680713,0.8138023003833973,3085.0
appliance,0.9654008438818565,0.8148148148148148,0.8837388953263808,1404.0
cell phone,0.9817295980511571,0.7878787878787878,0.8741865509761388,1023.0
cell phone accessory,0.9832869080779945,0.7665580890336591,0.8615009151921903,921.0
computer tablets,0.9725490196078431,0.545054945054945,0.6985915492957746,910.0
video games,0.964200477326969,0.910935738444194,0.9368115942028985,887.0
connected home housewares,0.9921259842519685,0.5264623955431755,0.6878980891719745,718.0
small kitchen appliances,0.9907120743034056,0.5765765765765766,0.7289293849658314,555.0
cameras camcorder,0.9848942598187311,0.5873873873873874,0.7358916478555304,555.0
audio,0.9732824427480916,0.4922779922779923,0.6538461538461539,518.0
pre games,0.7578397212543554,0.6882911392405063,0.7213930348258707,632.0
musical instrument,0.9894179894179894,0.4174107142857143,0.5871271585557299,448.0
car electronics gps,0.9763313609467456,0.38018433179723504,0.5472636815920399,434.0
computer accessories peripherals,0.9934640522875817,0.41304347826086957,0.5834932821497121,368.0
tv home theater,0.9846153846153847,0.3890577507598784,0.5577342047930284,329.0
digital camera accessory,0.9767441860465116,0.4970414201183432,0.6588235294117647,338.0
iphone accessory,0.9869565217391304,0.7049689440993789,0.822463768115942,322.0
iphone cases clips,0.970873786407767,0.6920415224913494,0.8080808080808081,289.0
cell phone cases clips,0.9605263157894737,0.611731843575419,0.7474402730375428,358.0
refrigerator,0.9777777777777777,0.6027397260273972,0.7457627118644068,146.0
car installation parts accessory,0.9596774193548387,0.49173553719008267,0.6502732240437159,242.0
printer ink toner,0.9945945945945946,0.8105726872246696,0.8932038834951456,227.0
car audio installation part,0.952,0.5129310344827587,0.6666666666666667,232.0
range cooktops ovens,1.0,0.7038834951456311,0.8262108262108263,206.0
home audio,0.9672131147540983,0.3333333333333333,0.4957983193277311,177.0
health fitness beauty,1.0,0.22631578947368422,0.36909871244635195,190.0
headphone,0.9803921568627451,0.40160642570281124,0.5698005698005698,249.0
ipad tablet accessories,0.9838709677419355,0.32620320855614976,0.48995983935742976,187.0
office school supplies,0.9928571428571429,0.8034682080924855,0.8881789137380192,173.0
deck installation parts,0.9183673469387755,0.5263157894736842,0.6691449814126395,171.0
heating cooling air quality,1.0,0.3716216216216216,0.541871921182266,148.0
tv stands mounts furniture,0.9818181818181818,0.34615384615384615,0.5118483412322274,156.0
laptop,0.9672131147540983,0.8428571428571429,0.9007633587786259,70.0
houseware,0.9761904761904762,0.37272727272727274,0.5394736842105263,110.0
tv stand,0.974025974025974,0.42857142857142855,0.5952380952380951,175.0
laptop accessory,1.0,0.4025974025974026,0.5740740740740741,154.0
sheet music dvd,0.9885057471264368,0.6056338028169014,0.7510917030567685,142.0
case covers keyboard folios,0.9090909090909091,0.36764705882352944,0.5235602094240838,136.0
cell phone batteries power,1.0,0.6115702479338843,0.7589743589743589,121.0
speaker,0.9302325581395349,0.40816326530612246,0.5673758865248227,98.0
bluetooth wireless speakers,0.9577464788732394,0.425,0.5887445887445887,160.0
dash installation kits,0.8947368421052632,0.4857142857142857,0.6296296296296297,175.0
cookware bakeware cutlery,0.978494623655914,0.5112359550561798,0.6715867158671587,178.0
