Name,ID
Accessories,"['pcmcat378800050014' 'pcmcat96200050046' 'pcmcat218500050000'
 'pcmcat185400050006']"
Action & Adventure,['pcmcat147400050000' 'abcat0701003' 'abcat0707003' 'abcat0704003']
Aluminum Tripods,['pcmcat240400050039' 'pcmcat241300050041']
Apple Watch,['pcmcat748300489081' 'pcmcat748300489175']
Bluetooth & Wireless Speakers,['pcmcat310200050004' 'abcat0205009']
Brother,['pcmcat152600050013' 'abcat0807002' 'abcat0807010']
Cables & Connectors,['pcmcat165900050026' 'abcat0515012']
Canon,['abcat0807003' 'pcmcat140900050016' 'pcmcat155100050035']
Card & Puzzle,['pcmcat147000050063' 'pcmcat147400050001']
Coffee Makers,['abcat0912005' 'abcat0912009']
Disney Infinity,['pcmcat385200050003' 'pcmcat322000050003']
Docking Stations,['pcmcat251600050011' 'pcmcat242000050003']
Games,['abcat0709002' 'abcat0708002']
Guitar Accessories,['pcmcat151600050008' 'abcat0208026']
Handheld GPS,['pcmcat302500050020' 'pcmcat237000050015']
Headphones,['abcat0204000' 'pcmcat152100050036']
Heart Rate Monitors,['abcat0915015' 'pcmcat363600050012']
Hewlett-Packard,['abcat0807011' 'abcat0807005']
Keyboards,['pcmcat151600050037' 'pcmcat345200050004']
Kids & Family,['abcat0704006' 'abcat0708005' 'pcmcat147400050005']
LCD Monitors,['pcmcat200900050015' 'pcmcat329700050024']
Large,['abcat0106018' 'abcat0106014']
Medium,['abcat0106013' 'abcat0410004']
Microphones,['pcmcat152100050038' 'pcmcat258000050011']
Monopods,['pcmcat328900050014' 'pcmcat240400050044']
Network Cards,['pcmcat252800050013' 'abcat0503011']
Other,['pcmcat339900050019' 'pcmcat182100050019']
PC Games,['pcmcat174700050005' 'pcmcat224500050004']
Portable DVD Players,['pcmcat301600050008' 'abcat0102008']
Portable Speakers,['pcmcat309300050017' 'pcmcat748301666245']
Power Supplies,['abcat0507009' 'pcmcat287500050002']
Racing,['pcmcat147400050002' 'abcat0704004']
Radios,['pcmcat310200050005' 'pcmcat185400050003']
Remote Controls,['abcat0107039' 'abcat0410048' 'cat08065']
Retro & Classic Arcade,['abcat0708006' 'abcat0707006']
Screen Protectors,"['pcmcat242000050005' 'pcmcat171900050031' 'pcmcat201900050009'
 'pcmcat302900050004']"
Shooters,['abcat0701008' 'abcat0704009']
Small,['abcat0106012' 'abcat0106016' 'abcat0410003']
Soft Cases,['pcmcat241300050035' 'pcmcat222000050016']
Speaker Wire,['pcmcat165900050042' 'pcmcat369700050027']
Speakers & Headsets,['pcmcat302600050022' 'abcat0515038']
Specialty Electric Bakers,['pcmcat262100050013' 'pcmcat248800050002']
Sports & Outdoors,"['abcat0707008' 'abcat0704010' 'abcat0708008' 'abcat0701009'
 'pcmcat147400050009']"
Subwoofer Cables,['pcmcat175600050019' 'abcat0107033']
TV & Home Theater Accessories,['abcat0107000' 'pcmcat143200050028']
TV Stands,['abcat0106001' 'pcmcat137700050007']
Travel Accessories,['abcat0208023' 'pcmcat271700050005']
Voice Recognition Software,['abcat0508048' 'pcmcat352500050020']
Wine Chillers,['pcmcat258700050033' 'pcmcat247400050002']
